subject	article_name	doi	species_id	species_name	interaction_id	interaction_name	sentence	Good data	Notes
Ecology	PLoS_One_2011_Jul_21_6(7)_e22591	10.1371/journal.pone.0022591	ITS-98734,ITS-98734,ITS-73264,Alg-3638,Fis-24362,ITS-155824	green crab,Carcinus maenas,Urosalpinx cinerea,Codium fragile,sea mat,M. membranacea	interaction:012:invasion	invasive	We recorded four invasive species: green crab ( Carcinus maenas ), oyster drill ( Urosalpinx cinerea ), green fleece ( Codium fragile  spp. tomentosoides ), and sea mat ( M. membranacea ).	N	species list
Ecology	PLoS_One-5-11-2972720	10.1371/journal.pone.0015418	ITS-28749,ITS-28755,Ast-325|ITS-35731,ITS-42111	Acer negundo,A. platanoides,Bidens pilosa,Sorghum halepense	interaction:012:invasion,interaction:003:mutualism	invasion,mutualism	Recent studies suggest that soil microbes can enhance the successful invasion of exotic plants, such as  Acer negundo ,  A. platanoides ,  Bidens pilosa , and  Sorghum halepense  (i.e. the enhanced mutualism hypothesis)  [8] ,  [11] ,  [13] .	N	species list, missing participant, missing interaction
Ecology	PLoS_One-5-11-2972720	10.1371/journal.pone.0015418	ICH-90199173|ITS-27779|Ves-035359|Cha-Syn-4185|Ara-036374|Cha-Syn-4186|URM-2-4240|Dip-Syn-66088|ITS-35317|Fis-48359|Fis-148245|IOP-621339|Ros-24490|Dip-Syn-46002|Cha-16715|Dip-70349|ASF-278|Lep-156676.0|Cer-S-155171|Ros-41984|Dip-Syn-70555|ICH-90181756|Dip-52269|SF-SM-454113|ITS-113708|IOP-620248|SF-338953|Dip-134653|ICH-90195708|Sal-9634|Kew-308826|SF-SM-193295|ITS-18990|ICH-90179622|ITS-29850|Ast-400|ITS-562800|SF-NZ-213719|SF-NZ-259551|ITS-683723|Kew-288286|ITS-621615|ICH-90216388|ITS-178784|ITS-522055|Lep-53640.0|ITS-109420|Ros-17369|ITS-86132|ICH-90182253|IOP-573444|Ast-11425|ITS-20151|ITS-584412|Lep-1712.0|Dip-Syn-68579|ITS-36224|Lep-118856.0|Cer-S-113560|Alg-65120|Kew-287541|IOP-620654,Fis-29960,ICH-90199173|ITS-27779|Ves-035359|Cha-Syn-4185|Ara-036374|Cha-Syn-4186|URM-2-4240|Dip-Syn-66088|ITS-35317|Fis-48359|Fis-148245|IOP-621339|Ros-24490|Dip-Syn-46002|Cha-16715|Dip-70349|ASF-278|Lep-156676.0|Cer-S-155171|Ros-41984|Dip-Syn-70555|ICH-90181756|Dip-52269|SF-SM-454113|ITS-113708|IOP-620248|SF-338953|Dip-134653|ICH-90195708|Sal-9634|Kew-308826|SF-SM-193295|ITS-18990|ICH-90179622|ITS-29850|Ast-400|ITS-562800|SF-NZ-213719|SF-NZ-259551|ITS-683723|Kew-288286|ITS-621615|ICH-90216388|ITS-178784|ITS-522055|Lep-53640.0|ITS-109420|Ros-17369|ITS-86132|ICH-90182253|IOP-573444|Ast-11425|ITS-20151|ITS-584412|Lep-1712.0|Dip-Syn-68579|ITS-36224|Lep-118856.0|Cer-S-113560|Alg-65120|Kew-287541|IOP-620654	S. canadensis,grass,S. canadensis	interaction:015:interaction,interaction:007:competition	interactions,competitive	Specifically, we linked the effects of soil microbes on seedling recruitment of  S. canadensis  and its interactions with  Stipa bungeana , a native Chinese grass, and hypothesized that soil microbes favour  S. canadensis  over  S. bungeana  in terms of emergence, growth, and competitive ability.	Y	species trigger problem
Ecology	PLoS_One-5-11-2972720	10.1371/journal.pone.0015418	ITS-183614,Ros-5886|IOP-571000	Ardisia crenata,Prunus caroliniana	interaction:015:interaction,interaction:012:invasion	interactions,invasive	Competitive interactions of the invasive shrub  Ardisia crenata  with the native plant  Prunus caroliniana  depended on the isolates of mycorrhizae present  [42] .	Y	species trigger problem
Ecology	PLoS_ONE_2008_Oct_17_3(10)_e3436	10.1371/journal.pone.0003436	Ast-Syn-23904,ILD-2458-1617|Kew-300658|Kew-222638	B. schlechtendalii,B. biflora	interaction:012:invasion	invaded	For example, recent species such as  B. schlechtendalii ,  B. hindsiana ,  B. morelensis , and  B. biflora  very likely originated in the dry forest but have invaded drier areas in the High plateau and the Sonoran Desert, which now function as diversity sinks for the genus.	N	species list
Ecology	PLoS_ONE-3-4-2315799	10.1371/journal.pone.0002073	BIO-nm.2553,Kew-34681|Kew-226301|ITS-14529|Cha-4534|Lep-70394.0|Kew-45034|SF-173296|Scr-4433-19-.03-.06-.01-.019-.043-.002-.-|Cer-S-27654|OSF-S-9856|Kew-32666|Cer-S-34571|FLO-s18889|Cer-S-51319|SF-172542|ITS-88872|Ros-48698|Kew-273532|Scr-2800-19-.03-.06-.01-.003-.000-.003-.b|Kew-41835|Kew-53151|Kew-223447|URM-M-477|ITS-723710|Fis-120926|FLO-t12923|Kew-223020|ITS-578999|Zyg-217421|Neu-3881|ITS-509983|ITS-578592|Kew-34553|ITS-74906|Cer-S-18082|ITS-198644|Por-165260|Cer-S-18080|ITS-723709|Cer-S-96437|Ara-001954|BSF-S-105|Dip-162176|OSF-7709|OSF-S-13964|ITS-85764|Mus-Syn-2692|Wtx-68410|Dip-Syn-2741|Lep-22155.0|ILD-26723-24179|Cer-S-43221|Fis-128869|Fis-12630|Kew-44406|URM-2-1999|ITS-574452|MSF-2490|Sal-8861|Myr-2040194|Rep-2108|Kew-46218|Scr-5012-14-.00-.02-.00-.004-.000-.112-.-|Ara-023302|Kew-223878|ITS-104239|Dip-Syn-53084|Fis-122397|Cum-181687|Kew-54905|Kew-37950|Fis-142694|OSF-S-13016|Cer-S-22221|ITS-199175|ITS-71238|Kew-53797|Chi-s384|ITS-543986|Fis-128860|Lep-250643.0|Ast-Syn-15333|Dip-Syn-129550|OSF-22744|Dip-51036|Dip-169125|ICH-90215700|Rha-155936|Ara-026813|Wtx-24969|Kew-44725|URM-Sc-284|Alg-24261|SF-NZ-311183|Sal-7459|OSF-S-10182|Kew-236471|Alg-58407|OSF-9726|URM-Cn-1784|Eum-1194|Cer-S-26607|Scr-4305-18-.01-.01-.05-.029-.007-.022-.-|ITS-510680|Lep-14018.0|Lep-264549.0|MSF-789|Eum-120|Ara-020291|Odo-640|Alg-15855|Ros-7923|URM-Cn-3720|Dip-193661|Dip-129627|Kew-367758|Fis-158968|Dip-50885|Dip-Syn-132770|ITS-33111|Por-133464|Wtx-51611|Scr-11120-19-.03-.03-.01-.015-.000-.002-.-|Kew-216451|Kew-223391|Dip-53548|Ast-Syn-5145|ITS-511523|Cer-S-79713|Neu-3709|Neu-13975|Kew-49842|Wtx-3350|Scr-5155-14-.00-.02-.00-.004-.000-.112-.-|Alg-13433|Lep-70616.0|Lep-275651.0|Kew-39327|Cer-22599|Alg-52215|Cer-S-34783|Scr-2878-19-.03-.06-.01-.003-.000-.003-.b|OSF-S-12631|Kew-331332|ICH-90219406|Fis-22754|Lep-154556.0|Wtx-3360|ITS-667159|Wtx-3369|ITS-84329|Por-132154|Wtx-3367|Alg-2676|Dip-Syn-41205|Kew-32358|Kew-53583|Rep-Syn-2441|Dip-127939|Kew-32755|Ast-Syn-26060|ITS-63411|MOS-35157355|ITS-184075|Lep-181655.0|ITS-92405|OSF-S-11253|Fis-29889|OSF-18779|Psy-1016|Cer-1337|Wtx-51609|Alg-3243|SF-329546|NZ-18947|Alg-13671|OSF-9801|ILD-7028-6023|ITS-205336|Wtx-3380|OSF-S-10820|Neu-S-14838|Cer-S-29338|Cer-S-21242|Dip-Syn-137838|Kew-52755|Dip-Syn-153759|IOP-587831|SF-311121|Lep-233054.0|Kew-29484|Por-190508|Cer-S-136373|ILD-730|SF-328426|Lep-31091.0|Dip-129550|ITS-654789|Cer-S-38552|OSF-S-15211|Odo-45|Lep-31172.0|Ast-Syn-31311|Ast-Syn-24541|Cha-Syn-4620|Kew-54737|Dip-Syn-37518|Cer-S-125410|Kew-327825|Cha-Syn-4619|Lep-232696.0|Lep-258882.0|Dip-158578|ITS-63332|SF-210287|Rep-Syn-5509|Kew-276067|Ast-Syn-8902|Rot-240|SF-372403|Mus-1043|Kew-46500|OSF-7633|Lep-85613.0|ITS-206371|SF-310994|Kew-40059|Eum-175|ITS-511092|Fis-126827|Cer-S-26462|Cha-4277|SF-151406|Por-190647|Wtx-75383|Kew-364549|Dip-Syn-41011|Cer-S-27064|Por-171333|SF-478957|IOP-587663|OSF-19191|Cer-S-26468|Kew-40060|Cer-S-40248|Dip-180275|SF-359447|Fis-126820|Kew-234616|Wtx-75389|Wtx-75391|SF-414821|ICH-90201812|Dip-51545|Lep-182521.0|Lep-76084.0|URM-Aco-99|Ast-Syn-42668|ITS-554091|Scr-11687-19-.03-.03-.01-.015-.000-.002-.-|ICH-90187311|Dip-84374|URM-2-3537|Rep-Syn-13780|Dip-Syn-68661|Por-190377|Dip-29233|SF-355309|Cer-S-27968|ITS-699035|ILD-1089-629|SF-383617|Ast-Syn-7888|IOP-588948|Kew-234921|ICH-90238925|Por-190368|Dip-13622|SF-112257|Dip-Syn-169125|Dip-74771|Alg-1339|Cer-S-33416|Kew-233867|Zyg-433066|Por-190396|Kew-41443|Cer-S-29169|OSF-S-10212|ICH-90201077|ITS-37183|Cha-Syn-17633|Cha-Syn-17634|Cha-Syn-17631|ITS-693156|ITS-85340|Wtx-61324|Cer-14103|Dip-Syn-127939|Alg-676|ICH-90233764|Dip-Syn-41144|Cer-S-28919|Dip-41835|Ara-000243|ILD-12610|Wtx-27112|Ara-026750|Cer-S-22583|OSF-S-14362|Ast-Syn-6406|Wtx-56035|OSF-S-15624|BSF-4351|ITS-660156|Por-166095|Por-190469|Lep-21472.0|Kew-37528|Kew-222794|Wtx-56028|CCW-12207|Lep-54785.0|Kew-35897|ITS-750301|Fis-35025|Cum-110509|ITS-108828|Ast-Syn-9518|Rep-Syn-4696|ICH-90225362|ICH-90222592|Fis-6817|OSF-18176|Lep-195778.0|Ros-49552|ITS-749359|Cer-S-24962|Rep-Syn-13723|Ara-000251|ITS-510381|Kew-276506|Ast-22051|SF-126534|Ast-Syn-22359|Ros-10196|Alg-41375|Ast-Syn-39012|Alg-27259|Kew-40932|ITS-750227|OSF-S-10535|SF-155659|Por-171855|Kew-37784|Kew-53856|Cha-Syn-6415|Fis-1613|ITS-661562|Ast-7917|Scr-4417-19-.03-.06-.01-.019-.043-.002-.-|Lep-71986.0|Kew-223527|Rep-1761|Dip-50431|Rep-Syn-6436|Kew-301669|Kew-301668|Alg-2105|Por-190312|Lep-264771.0|SF-381505|Por-170749|Scr-4289-18-.01-.01-.05-.029-.007-.022-.-|Cer-S-151724|URM-Cn-4632|Kew-36639|Fis-119000|Kew-303412|SF-238213|Kew-54056|IOP-569222|Dip-89970|Cha-Syn-14034|Neu-S-1935|ITS-111558|Dip-50319|Ast-Syn-41348|Cer-S-15809|Cer-28965|Cer-S-72190|Dip-Syn-47608|URM-Pol-75|ITS-201786|ITS-655780|Cer-S-24430|ITS-567348|Cer-2718|Lep-76194.0	P. aeruginosa,C. elegans	interaction:025:killing,interaction:025:killing	killing,killing	Along similar lines, it has been reported that cyanide production in  P. aeruginosa  mediate paralytic killing of  C. elegans  in a fast killing assay  [1] .	Y	
Ecology	PLoS_ONE-3-12-2587697	10.1371/journal.pone.0003846	BIO-sp2-1128,BIO-nm.5829,BIO-sp2-930	Morganella morganii,Micrococcus luteus,Klebsiella pneumoniae	interaction:020:limiting,interaction:020:limiting,interaction:020:limiting	limit,limit,limit	Concentrations were determined by bioassay using  Morganella morganii  ATCC 8076H as indicator organism for cefditoren  [24]  (linear concentrations from 0.0035 to 4 Âµg/ml; limit of detectionâ€Š=â€Š0.0035 Âµg/ml),  Micrococcus luteus  ATCC 9341 for amoxicillin (linear concentrations from 0.03 to 1 Âµg/ml; limit of detectionâ€Š=â€Š0.06 Âµg/ml), and  Klebsiella pneumoniae  NCTC 11228 for clavulanic acid concentrations  [25]  (linear concentrations from 0.06 to 4 Âµg/ml; limit of detectionâ€Š=â€Š0.12 Âµg/ml).	N	interaction trigger problem
Ecology	PLoS_ONE-3-12-2587697	10.1371/journal.pone.0003846	BIO-nm.5606,BIO-nm.5677	S. pyogenes,S. pneumoniae	interaction:020:limiting	limit	25% of the mixed inocula, and at 24 h up to 96.3% of the population corresponded to  S. pyogenes , with small populations of the BLPACR strain (3.17%) and  S. pneumoniae  (0.50%), and colony counts below the detection limit for the BL +  strain.	N	interaction trigger problem
Ecology	PLoS_ONE-3-12-2587697	10.1371/journal.pone.0003846	BIO-nm.3419,BIO-nm.5677	H. influenzae,S. pneumoniae	interaction:020:limiting	limit	However since the Î²-lactamase was produced by a strain resistant to amoxicillin/clavulanic acid (as the BLPACR strain), clavulanic acid was not able to protect amoxicillin from degradation in such an extent to allow its bactericidal activity against strains with MICs in the limit of susceptibility, as the  H. influenzae  BL +  and  S. pneumoniae  (MICs of 2 Âµg/ml) that were protected from eradication, thus selecting them.	N	interaction trigger problem
Ecology	PLoS_ONE-3-12-2587697	10.1371/journal.pone.0003846	BIO-nm.5606,BIO-nm.5677	S. pyogenes,S. pneumoniae	interaction:020:limiting	limit	This effect of â€œindirect pathogenâ€ or co-pathogenicity seems to be gradual since Î²-lactamase inhibitors (as calvulanic acid in tid regimens) countered it for strains very susceptible to amoxicillin as  S. pyogenes  but not for susceptible strains with amoxicillin MICs values in the limit of susceptibility as  S. pneumoniae .	N	interaction trigger problem
Ecology	PLoS_One_2011_Jul_6_6(7)_e21295	10.1371/journal.pone.0021295	ITS-180092,ITS-180469	humans,Orcinus orca	interaction:025:killing,interaction:001:predatorprey,interaction:026:attacking	killer,predators,attacks	Ignoring humans, killer whales ( Orcinus orca ) are the dominant predators of gray whales, and their selective attacks at key junctures along the gray whale coastal migration route in the eastern North Pacific has demonstrable impacts on gray whale population size and life history parameters  [50] .	N	missing participant
Ecology	PLoS_One_2011_Apr_29_6(4)_e19199	10.1371/journal.pone.0019199	ITS-180366,ITS-180092	house mouse,human	interaction:012:invasion	invaded	Similarly, the house mouse, which is better adapted to arid conditions, has invaded almost the entire continent, while the two rat species are restricted to coastal areas, mainly near human habitations.	N	interaction trigger problem
Ecology	PLoS_One_2011_Apr_29_6(4)_e19199	10.1371/journal.pone.0019199	ITS-585497,ITS-585533,ITS-585533	Pseudomys gracilicaudatus,Rattus lutreolus,R. lutreolus	interaction:007:competition,interaction:007:competition	competition,competitive	A series of studies on intraspecific competition between the old endemics  Pseudomys gracilicaudatus/higginsi  and the new endemic,  Rattus lutreolus , showed that: 1) these species partition one or more resources in order to coexist  [46] ; 2)  Pseudomys  is more opportunistic in diet than  R. lutreolus   [47] ; 3) the larger  Rattus  is behaviorally dominant over  Pseudomys   [48] ; and 4) there is a dynamic balance of stable competitive coexistence between these species based on various stages of post-fire plant succession  [49] .	Y	
Ecology	PLoS_ONE-1-1-1762321	10.1371/journal.pone.0000118	Fis-22428,Fis-115197	swordtail,Xiphophorus birchmanni	interaction:001:predatorprey	predators	Here we investigate whether young fry of the swordtail fish  Xiphophorus birchmanni  attend to chemical and visual cues in the detection of predators and conspecifics.	N	species trigger problem, missing participant
Ecology	PLoS_ONE-1-1-1762321	10.1371/journal.pone.0000118	Fis-23860|Fis-30090|Fis-26880|Fis-58302|Fis-23789|Fis-27202|Fis-22700|Fis-162137,Fis-115197	cichlid,X. birchmanni	interaction:001:predatorprey	predators	Here we use the sympatric native cichlid  Herichthys carpintes  to investigate the use of the chemical and visual cues of likely predators by  X. birchmanni  fry.	Y	species trigger problem, missing participant
Ecology	PLoS_ONE-1-1-1762321	10.1371/journal.pone.0000118	Fis-29476,Fis-29476,Fis-29374,Fis-29374,Fis-29476	European perch,Perca fluviatilis,northern pike,Esox lucius,perch	interaction:001:predatorprey	predator	In the European perch ( Perca fluviatilis ), for instance, young-of-the-year reduce food intake when in the presence of odors of northern pike ( Esox lucius ) â€“ a common perch predator  [9] .	Y	missing interaction
Ecology	PLoS_ONE-1-1-1762321	10.1371/journal.pone.0000118	Fis-153593,Fis-153593,Fis-22949	trout,arctic char,Salvelinus alpinus	interaction:001:predatorprey,interaction:001:predatorprey	predators,predators	And, in what reflects the long coevolutionary history between trout fry and their sympatric predators, young arctic char ( Salvelinus alpinus  L.) are able to discriminate among multiple predators based solely on chemical information, and modify their behavior adaptively based on olfactory information  [24] .	N	missing participant
Ecology	PLoS_ONE-3-5-2346550	10.1371/journal.pone.0002118	ICH-90216961,Lep-25626.0	Macrocentrus grandii,Ostrinia nubilalis	interaction:022:hybridising	hybrids	This effect stemmed from the lepidopteran-specific maize hybrids, and examining the 116 observations showed that most (nâ€Š=â€Š93) were conducted on  Macrocentrus grandii , a specialist parasitoid of the Bt-target,  Ostrinia nubilalis .	N	interaction trigger problem, missing participant
Ecology	PLoS_ONE-3-5-2346550	10.1371/journal.pone.0002118	ITS-107762,ITS-106968,ITS-200547	Geocoris punctipes,Orius tristicolor,B. tabaci	interaction:001:predatorprey,interaction:014:eating,interaction:001:predatorprey	predators,fed,prey	Ponsard et al. [16]  noted a moderate reduction in longevity of  Geocoris punctipes  and  Orius tristicolor  when these predators fed on Cry1Ac intoxicated prey in the laboratory, and Gutierrez et al. [39]  predicted that due to this effect we might see increased abundance and pest status in  Lygus  spp. and  B. tabaci  in Bt cotton.	N	missing participant
Ecology	PLoS_One_2011_Jun_17_6(6)_e21032	10.1371/journal.pone.0021032	Wtx-3873|Cer-S-27631|Wtx-1721|Mus-Syn-2955|Cer-S-58057|Wtx-34469|Wtx-13744|Wtx-17748|ITS-23105,BIO-nm.8649	C. didymus,K. algicida	interaction:006:affecting	affected	In contrast,  C. didymus  growth was not affected by  K. algicida  filtrate (Pâ‰¥0.553 at all sampling points; RM-ANOVA).	Y	
Ecology	PLoS_One_2011_Jun_17_6(6)_e21032	10.1371/journal.pone.0021032	BIO-nm.8649,BIO-nm.8649,Alg-39687,Alg-39687,Alg-39687	K. algicida,K. algicida,S. costatum,S. costatum,S. costatum	interaction:023:host	host	No regulation of algicidal activity in the presence of the host The filtrate of active  K. algicida  cultures as well as the filtrate of  K. algicida / S. costatum  co-cultures both caused a significant decrease of cell growth of  S. costatum  in comparison to  S. costatum  filtrate as control (P<0.001 for both) ( Fig. 2 ).	N	interaction trigger problem
Ecology	PLoS_One_2011_Jun_17_6(6)_e21032	10.1371/journal.pone.0021032	Wtx-3873|Cer-S-27631|Wtx-1721|Mus-Syn-2955|Cer-S-58057|Wtx-34469|Wtx-13744|Wtx-17748|ITS-23105,Alg-39687	C. didymus,S. costatum	interaction:006:affecting	affected	While  C. didymus  was not affected by any of these protease additions  S. costatum  was inhibited in growth by the external proteases (data not shown).	N	missing participant
Ecology	PLoS_One_2011_Jun_17_6(6)_e21032	10.1371/journal.pone.0021032	Alg-39687,BIO-nm.8649	S. costatum,K. algicida	interaction:025:killing	killed	This is consistent with previous findings of  S. costatum  cells that were killed quantitatively after 3 days in a co-culture with  K. algicida   [27] .	Y	
Ecology	PLoS_One-5-1-2809745	10.1371/journal.pone.0008841	Fis-29960,ITS-41460,ITS-20622,ITS-38427|Ast-201	grass,Avena sterilis,Chenopodium murale,Sonchus oleraceus	interaction:014:eating	consume	Thus, sunflower seeds do not belong to the original wild diet of these birds, which consume smaller seeds of annual grass species ( Avena sterilis, Lolium lowei ), Ice plant ( Mesembryanthemum crytallinum ), or annual succulents ( Chenopodium murale  and  Sonchus oleraceus )  [26] .	N	missing participant
Ecology	PLoS_One_2011_Jun_8_6(6)_e20819	10.1371/journal.pone.0020819	ITS-180092,BIO-nm.3093	human,E. coli	interaction:014:eating	feeding	The high numbers of concentrated animal feeding operations (CAFOs) and human population gives rise to a major concern relating tothe potential risk associated with the distribution, diversity, and antimicrobial resistance of  E. coli  isolates in surface water and sediment.	N	interaction trigger problem
Ecology	PLoS_One_2010_May_5_5(5)_e10403	10.1371/journal.pone.0010403	ITS-632484,ITS-183818,ITS-180133,ITS-180133	Xerus inauris,Canis mesomelas,mountain beavers,Aplodontia rufa	interaction:001:predatorprey	predator	Cape ground squirrels ( Xerus inauris ) quickly habituate to odors from black backed jackals ( Canis mesomelas ;  [16]  while mountain beavers ( Aplodontia rufa ) rapidly habituate to synthetic predator scents  [20] .	N	missing participant
Ecology	PLoS_One_2010_May_5_5(5)_e10403	10.1371/journal.pone.0010403	ITS-552732,ITS-726820,ITS-180599,ITS-180599,ITS-180092	Macropus fuliginosus,Canis lupus dingo,coyote,Canis latrans,human	interaction:001:predatorprey	predator	We previously observed western grey kangaroos ( Macropus fuliginosus ) to be deterred from food sources using urine from a sympatric predator (dingo,  Canis lupus dingo ); we were unable to elicit similar responses from coyote ( Canis latrans ) or human urine  [14] .	Y	
Ecology	PLoS_One-4-7-2701635	10.1371/journal.pone.0006151	Fis-49220,Fis-23401,Fis-23401,Fis-29428,Fis-23190,Fis-30040|Fis-24923|Fis-24424|Fis-52983	bluefin tuna,Atlantic menhaden,Brevoortia tyrannus,Leiostomus xanthurus,Atlantic croaker,spawn	interaction:001:predatorprey	prey	Boustany  [24]  showed that the presence of bluefin tuna coincides with a large number of prey species, namely Atlantic menhaden ( Brevoortia tyrannus ), spot ( Leiostomus xanthurus ) and Atlantic croaker ( Micropogonias undulates ), that spawn in this region at the bottom during the night between November and March in waters of 18â€“24Â°C  [57] .	Y	
Ecology	PLoS_One-4-7-2701635	10.1371/journal.pone.0006151	Fis-49220,Fis-23401	bluefin tuna,Atlantic menhaden	interaction:001:predatorprey	prey	Multi year stomach content analyses of bluefin tuna caught in this region revealed Atlantic menhaden to be the most common (96%) prey item  [58] .	Y	
Ecology	PLoS_One-4-7-2701635	10.1371/journal.pone.0006151	Fis-49220,Fis-23401	bluefin tuna,menhaden	interaction:024:relationship	relationship	The attraction of bluefin tuna to these menhaden spawning aggregations might also explain the de-coupled link to primary productivity and the weaker relationship observed in this region ( Figure 6b ).	N	interaction trigger problem
Ecology	PLoS_One_2011_Aug_10_6(8)_e22915	10.1371/journal.pone.0022915	ITS-595313|Lep-159672.0|Ast-Syn-13293|Fis-143866|Lep-141198.0,Hex-187952	H. danae,H. ostroumowi	interaction:011:exclusion	exclusion	Haemocera filogranarum  Malaquin 1901, one of the four species described in this genus (the others being  H. danae ,  H. roscovita , and  H. ostroumowi ), is probably a species of  Monstrillopsis   [11] .With the recent exclusion of  Strilloma  Isaac, 1974 as a valid genus  [12] , the order Monstrilloida currently includes four valid genera:  Monstrilla  Dana, 1849,  Cymbasoma  Thompson, 1888,  Monstrillopsis  Sars, 1921, and the newest genus  Maemonstrilla  Grygier & Ohtsuka, 2008.	N	species list, interaction trigger problem
Ecology	PLoS_One-6-1-3020955	10.1371/journal.pone.0016176	ITS-562305,ITS-562296,ITS-562296,ITS-562331,ITS-562331	Ploceus intermedius,Village Weaver,Ploceus cucullatus,Yellow Weaver,Ploceus subaureus	interaction:011:exclusion	excluded	We also excluded Lesser-masked Weaver  Ploceus intermedius  (predominantly found in thicket) from further analysis because observers in different years variably distinguished between Lesser-masked and other similar looking weavers predominantly found in grassland ( i.e. Village Weaver  Ploceus cucullatus  and Yellow Weaver  Ploceus subaureus ).	N	species list, interaction trigger problem
Ecology	PLoS_ONE-3-7-2444036	10.1371/journal.pone.0002702	Sol-4204,ITS-30571,Sol-4204,Sol-4204,ITS-30571,Sol-4204	S. nigrum,N. attenuata,S. nigrum,S. nigrum,N. attenuata,S. nigrum	interaction:023:host,interaction:023:host	host,host	Growth response of  S. nigrum  and  N. attenuata  to natural endophytic bacteria from  S. nigrum  and to type strains In order to determine the growth and fitness response of host and non-host plant species to these natural endophytic bacteria, we inoculated the seeds of  S. nigrum  and  N. attenuata  with the endophytic bacterial isolates from  S. nigrum  and measured length of seedling root and hypocotyl.	N	missing participant
